Address,Longitude,Type,Latitude,Time
6025 Lanham Pl Sw,-122.373688,Aid Response Yellow,47.548171,06:53:00 PM
2221 Nw Market St,-122.385077,Aid Response,47.668678,07:02:00 PM
3rd Av / Pine St,-122.338702,Aid Response,47.610743,07:04:00 PM
6691 Perimeter Rd S,-122.308997,Auto Fire Alarm,47.542858,07:04:00 PM
2nd Av Nw / Nw 92nd St,-122.359379,Aid Response,47.696041,07:05:00 PM
525 25th Av S,-122.299923,Medic Response,47.597929,07:06:00 PM
13616 3rd Av Ne,-122.326518,Aid Response,47.727659,07:08:00 PM
9536 Ashworth Av N,-122.339707,Aid Response,47.698111,07:11:00 PM
10500 51st Av S,-122.270133,Dumpster Fire,47.506583,07:28:00 PM
1720 E Olive St,-122.309884,Trans to AMR,47.616442,07:29:00 PM
400 S Washington St,-122.328963,Aid Response,47.600875,07:39:00 PM
10751 Marine View Dr Sw,-122.383221,Automatic Fire Alarm False,47.506462,07:41:00 PM
824 30th Av,-122.293792,Automatic Fire Alarm Resd,47.610006,07:44:00 PM
3790 Okanogan Ln Ne,-122.309076,Aid Response,47.653049,07:44:00 PM
4137 41st Av S,-122.281761,Automatic Fire Alarm Resd,47.565948,07:49:00 PM
1130 Nw 54th St,-122.371036,Aid Response,47.667885,07:51:00 PM
232 Warren Av N,-122.354135,Medic Response,47.620133,07:54:00 PM
12352 36th Av Ne,-122.289315,Aid Response Yellow,47.717823,08:00:00 PM
13501 Aurora Av N,-122.345017,Aid Response,47.72686,08:08:00 PM
4616 M L King Jr Way S,-122.293783,Medic Response,47.561674,08:15:00 PM
1417 Belmont Av,-122.324446,Aid Response,47.613168,08:17:00 PM
16th Av Ne / Ne 58th St,-122.310767,Aid Response,47.671511,08:21:00 PM
2100 Queen Anne Av N,-122.356941,Aid Response,47.63717,08:21:00 PM
10215 Greenwood Av N,-122.355431,Medic Response,47.703014,08:24:00 PM
914 E Jefferson St,-122.320559,Medic Response,47.606212,08:24:00 PM
Stewart St / Terry Av,-122.333577,Aid Response,47.616281,08:29:00 PM
3512 S Juneau St,-122.288795,Aid Response,47.549772,08:30:00 PM
10049 College Way N,-122.335029,Aid Response,47.701742,08:30:00 PM
S Mcclellan St / 30th Av S,-122.294163,Aid Response,47.578346,08:31:00 PM
E Mercer St / Broadway E,-122.320942,Aid Response,47.624269,08:36:00 PM
4601 S Graham St,-122.27532,Aid Response,47.546032,08:41:00 PM
7711 8th Av Nw,-122.366007,Automatic Medical Alarm,47.684815,08:44:00 PM
5444 Delridge Way Sw,-122.362969,Aid Response,47.553321,08:47:00 PM
8840 38th Av Sw,-122.3807,Aid Response,47.524339,08:54:00 PM
442 S Main St,-122.328407,Rescue Elevator,47.600035,08:54:00 PM
505 Ne 70th St,-122.322756,Aid Response,47.679461,09:00:00 PM
501 E Pine St,-122.325518,Trans to AMR,47.615219,09:02:00 PM
2119 3rd Av,-122.342432,Aid Response,47.613308,09:15:00 PM
12011 32nd Av Ne,-122.294054,Medic Response,47.715614,09:21:00 PM
416 Federal Av E,-122.318871,Aid Response,47.622152,09:26:00 PM
9430 30th Av Sw,-122.371386,Auto Fire Alarm,47.517943,09:30:00 PM
420 Blanchard St,-122.342459,Auto Fire Alarm,47.614736,09:36:00 PM
1155 N 130th St,-122.344228,Trans to AMR,47.723212,09:39:00 PM
2709 Ne 145th St,-122.299105,Medic Response,47.733807,09:39:00 PM
9440 27th Av Sw,-122.367275,Aid Response,47.518457,09:41:00 PM
